id,name,front,back,shape,color,색상뒤
200808876,가스디알정50밀리그램(디메크로틴산마그네슘),IDG,-,10,9,-
200808877,페라트라정2.5밀리그램(레트로졸),YH,LT,10,13,-
200808948,졸뎀속붕정(졸피뎀타르타르산염),-,-,10,15,-
200809076,가스프렌정(모사프리드시트르산염이수화물),KD,|,9,15,-
200809361,바르탄정(발사르탄),V|T,HS8,10,14,-
200809402,리피논정80밀리그램(아토르바스타틴칼슘삼수화물),LPT,80,8,15,-
200809710,사르발탄정160밀리그램(발사르탄),SPC,V|16,8,12,-
200809882,가스베트정5밀리그램(모사프리드시트르산염수화물),ID·5,|,9,15,-
200809883,아푸르탄정150밀리그램(이르베사르탄),AT,150,8,15,-
200809909,발사르텔정80밀리그램(발사르탄),V|8,KK,10,14,-
200809910,발사르텔정160밀리그램(발사르탄),V|16,KK,8,12,-
200809959,동광모니플루메이트정350mg,DPC,MNF,8,15,-
200810125,에스시탈정5밀리그램(에스시탈로프람옥살산염),CKD,ES5,10,15,-
200810314,발산정80밀리그램(발사르탄),V|A,UM,10,14,-
200810338,가스리드정5mg(모사프리드시트르산염수화물),YH,G|5,9,15,-
200810473,엑스반정80밀리그램(발사르탄),SJ,V|8,10,14,-
200810509,뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염),KDCNTC8,-,9,15,하양
200810522,발트렙정160밀리그램(발사르탄),KD|VT,160,8,12,-
200810789,수로신디정(탐스로신염산염),PAC,-,10,15,-
200810870,로수로드정10밀리그램(로수바스타틴칼슘),CKDRSD10,-,10,14,-
200811004,슈니펜정(모니플루메이트),AG,MNF,9,15,-
200811104,디오살탄정160밀리그램(발사르탄),Y|H,160,8,13,-
200811105,디오살탄정80밀리그램(발사르탄),Y|H,80,10,14,-
200811403,칸데사르정8밀리그램(칸데사르탄실렉세틸),|C8,-,10,14,-
200811404,칸데사르정16밀리그램(칸데사르탄실렉세틸),|C16,-,10,14,-
200811619,디로탄정160mg(발사르탄),R|Y,160,8,12,-
200811883,인케어정(옥수수불검화정량추출물),BMI,-,10,12,-
200811971,제이코정,COΛ,|,9,15,-
200900005,노페인에프정(수출용),BT|NF,-,8,15,-
200900018,깅코탄연질캡슐120밀리그램(은행엽건조엑스),깅코탄,-,8,8,-
200900026,리버풀350연질캡슐(밀크시슬열매건조엑스),SILIV,-,8,11,-
200900193,모니맥정(모니플루메이트),MNM,-,9,15,-
200900194,모니필정350밀리그램(모니플루메이트),ETM,-,9,15,-
200900195,모니메르정(모니플루메이트),ALC,MFT,9,15,-
200900196,모니트정350밀리그램(모니플루메이트),hw19,350,9,15,-
200900242,키비칼츄어블정,HF,-,10,14,-
200900378,칸데사르플러스정16/12.5밀리그램,|CS,-,9,12,-
200900605,코프나캡슐,BTOCNA,-,9,8,하양
200900682,굿스펜연질캡슐(덱시부프로펜),KDGP,-,9,0,-
200900823,가스파플러스정,IHP,G+,10,9,-
200900833,마이칼디정,MM|D,-,9,12,-
200900844,모빅캡슐7.5밀리그램(멜록시캄),Mobic7.5mg,-,9,8,초록
200900845,모빅캡슐15밀리그램(멜록시캄),Mobic15mg,-,9,8,노랑
200901014,코큐렉스연질캡슐,RPCQR,-,9,3,-
200901073,발크로버정500밀리그램(발라시클로비르염산염수화물),VAL,W|I,9,15,-
200901148,엔에이피정(나프록센나트륨),T21,-,8,10,-
200901177,메디헤모연질캡슐,D-WMH,-,9,11,-
200901187,이지에스정(방기황기탕건조엑스),INS,-,10,2,-
200901205,제일아노민정,JIΛN,-,9,7,-
200902918,오렉스캡슐,BTOORX,-,9,7,빨강
200902983,선콜정,T37,-,9,14,-
200903022,베리콜노즈정,|,SCD,9,14,-
200903023,마그놀정,BPMA,-,8,15,-
200903040,덴티콤캡슐,SNPDTC,-,9,10,파랑
200903043,리버파워포르테연질캡슐,SC200,-,9,8,-
200903044,본렉스이알캡슐15밀리그램(시클로벤자프린염산염),BonelaxER15mg,-,9,12,주황
200903045,본렉스이알캡슐30밀리그램(시클로벤자프린염산염),BonelaxER30mg,-,9,7,파랑
200903055,오메코프정,SCP,OC,10,15,-
200903065,산도스올란자핀정10밀리그램,SZ,10,10,15,-
200903066,올란프레서정10mg(올란자핀),SZ,10,10,15,-
200903067,산도스올란자핀정5밀리그램,SZ,5,10,15,-
200903068,올란프레서정5mg(올란자핀),SZ,5,10,15,-
200903078,산도스올란자핀정2.5밀리그램,SZ,2.5,10,15,-
200903080,올란프레서정2.5mg(올란자핀),SZ,2.5,10,15,-
200903183,센트룸실버정,SELECT,W|2,8,6,-
200903210,헤파피스연질캡슐,CGPHP,-,9,9,-
200903217,메펜연질캡슐(메페남산),메펜,-,9,10,-
200903247,센타민플러스연질캡슐,RPSTM,-,9,11,-
200903378,헤모퀸골드캡슐,KNHQ,-,9,11,갈색
200903392,제로민연질캡슐(디펜히드라민염산염),제로민,-,8,4,-
200903395,비나코연질캡슐,비나코,-,9,10,-
200903409,리피다운캡슐120밀리그램(오르리스타트),HanmiLipidown120,-,9,10,파랑
200903482,비오펜연질캡슐(덱시부프로펜),DCD,-,8,8,-
200903579,카이로정,T32,|,9,15,-
200903580,덴탈에프정(옥수수불검화정량추출물),T-32,-,10,12,-
200903585,마이에신캡슐(은교산),마이에신마이에신,-,9,11,하양
200901403,미카몰정,T23,MT,9,15,-
200901575,행심연질캡슐(은행엽건조엑스),D-WGT,-,8,8,-
200901619,알룬정,HS1,-,8,14,-
200901620,미니메이드정(수출용),NK,-,8,14,-
200901818,리버플란연질캡슐,리버플란,-,9,11,-
200902147,에코닉신정(클로닉신리시네이트),ECX,-,10,12,-
200902192,토넥스포르테캡슐,TONEX-F,-,9,7,빨강
200902207,헤파라이프연질캡슐350mg(밀크시슬열매건조엑스),ETXH-L,-,9,11,-
200902212,비타마인연질캡슐,VITAMINE,-,9,8,-
200902301,그날엔정,NKYUNGDONG,-,10,15,하양
200902328,자베스카캡슐100밀리그램(미글루스타트),OGT918100,-,9,15,하양
200902364,이프렌에스연질캡슐(덱시부프로펜),SJDX,-,9,4,-
200902452,맥스비타플러스정,GHT,-,8,12,-
