id,name,front,back,shape,color,색상뒤
200808876,가스디알정50밀리그램(디메크로틴산마그네슘),IDG,zzzzzz,10,9,zzzzzz
200808877,페라트라정2.5밀리그램(레트로졸),YH,LT,10,13,zzzzzz
200808948,졸뎀속붕정(졸피뎀타르타르산염),zzzzzz,zzzzzz,10,15,zzzzzz
200809076,가스프렌정(모사프리드시트르산염이수화물),KD,|,9,15,zzzzzz
200809361,바르탄정(발사르탄),V|T,HS8,10,14,zzzzzz
200809402,리피논정80밀리그램(아토르바스타틴칼슘삼수화물),LPT,80,8,15,zzzzzz
200809710,사르발탄정160밀리그램(발사르탄),SPC,V|16,8,12,zzzzzz
200809882,가스베트정5밀리그램(모사프리드시트르산염수화물),ID·5,|,9,15,zzzzzz
200809883,아푸르탄정150밀리그램(이르베사르탄),AT,150,8,15,zzzzzz
200809909,발사르텔정80밀리그램(발사르탄),V|8,KK,10,14,zzzzzz
200809910,발사르텔정160밀리그램(발사르탄),V|16,KK,8,12,zzzzzz
200809959,동광모니플루메이트정350mg,DPC,MNF,8,15,zzzzzz
200810125,에스시탈정5밀리그램(에스시탈로프람옥살산염),CKD,ES5,10,15,zzzzzz
200810314,발산정80밀리그램(발사르탄),V|A,UM,10,14,zzzzzz
200810338,가스리드정5mg(모사프리드시트르산염수화물),YH,G|5,9,15,zzzzzz
200810473,엑스반정80밀리그램(발사르탄),SJ,V|8,10,14,zzzzzz
200810509,뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염),KDCNTC8,zzzzzz,9,15,하양
200810522,발트렙정160밀리그램(발사르탄),KD|VT,160,8,12,zzzzzz
200810789,수로신디정(탐스로신염산염),PAC,zzzzzz,10,15,zzzzzz
200810870,로수로드정10밀리그램(로수바스타틴칼슘),CKDRSD10,zzzzzz,10,14,zzzzzz
200811004,슈니펜정(모니플루메이트),AG,MNF,9,15,zzzzzz
200811104,디오살탄정160밀리그램(발사르탄),Y|H,160,8,13,zzzzzz
200811105,디오살탄정80밀리그램(발사르탄),Y|H,80,10,14,zzzzzz
200811403,칸데사르정8밀리그램(칸데사르탄실렉세틸),|C8,zzzzzz,10,14,zzzzzz
200811404,칸데사르정16밀리그램(칸데사르탄실렉세틸),|C16,zzzzzz,10,14,zzzzzz
200811619,디로탄정160mg(발사르탄),R|Y,160,8,12,zzzzzz
200811883,인케어정(옥수수불검화정량추출물),BMI,zzzzzz,10,12,zzzzzz
200811971,제이코정,COΛ,|,9,15,zzzzzz
200900005,노페인에프정(수출용),BT|NF,zzzzzz,8,15,zzzzzz
200900018,깅코탄연질캡슐120밀리그램(은행엽건조엑스),깅코탄,zzzzzz,8,8,zzzzzz
200900026,리버풀350연질캡슐(밀크시슬열매건조엑스),SILIV,zzzzzz,8,11,zzzzzz
200900193,모니맥정(모니플루메이트),MNM,zzzzzz,9,15,zzzzzz
200900194,모니필정350밀리그램(모니플루메이트),ETM,zzzzzz,9,15,zzzzzz
200900195,모니메르정(모니플루메이트),ALC,MFT,9,15,zzzzzz
200900196,모니트정350밀리그램(모니플루메이트),hw19,350,9,15,zzzzzz
200900242,키비칼츄어블정,HF,zzzzzz,10,14,zzzzzz
200900378,칸데사르플러스정16/12.5밀리그램,|CS,zzzzzz,9,12,zzzzzz
200900605,코프나캡슐,BTOCNA,zzzzzz,9,8,하양
200900682,굿스펜연질캡슐(덱시부프로펜),KDGP,zzzzzz,9,0,zzzzzz
200900823,가스파플러스정,IHP,G+,10,9,zzzzzz
200900833,마이칼디정,MM|D,zzzzzz,9,12,zzzzzz
200900844,모빅캡슐7.5밀리그램(멜록시캄),Mobic7.5mg,zzzzzz,9,8,초록
200900845,모빅캡슐15밀리그램(멜록시캄),Mobic15mg,zzzzzz,9,8,노랑
200901014,코큐렉스연질캡슐,RPCQR,zzzzzz,9,3,zzzzzz
200901073,발크로버정500밀리그램(발라시클로비르염산염수화물),VAL,W|I,9,15,zzzzzz
200901148,엔에이피정(나프록센나트륨),T21,zzzzzz,8,10,zzzzzz
200901177,메디헤모연질캡슐,DzzzzzzWMH,zzzzzz,9,11,zzzzzz
200901187,이지에스정(방기황기탕건조엑스),INS,zzzzzz,10,2,zzzzzz
200901205,제일아노민정,JIΛN,zzzzzz,9,7,zzzzzz
200902918,오렉스캡슐,BTOORX,zzzzzz,9,7,빨강
